FSM,Testcases,Cores,Total CPU,Execution GPU Optimised,Total GPU Optimised
bbsse.test,221184,32,25.544649,96.323904,117.151554
bbsse.test,221184,16,38.67959,96.323904,117.151554
bbsse.test,221184,8,46.784061,96.323904,117.151554
bbsse.test,221184,1,263.852465,96.323904,117.151554
bbsse.test,131072,32,17.849309,58.005024,65.306153
bbsse.test,131072,16,20.063003,58.005024,65.306153
bbsse.test,131072,8,26.531648,58.005024,65.306153
bbsse.test,131072,1,156.385824,58.005024,65.306153
bbsse.test,65536,32,8.890188,33.279584,39.416138
bbsse.test,65536,16,12.819537,33.279584,39.416138
bbsse.test,65536,8,14.940202,33.279584,39.416138
bbsse.test,65536,1,77.426856,33.279584,39.416138
bbsse.test,32768,32,8.322028,21.278848,23.959387
bbsse.test,32768,16,8.796181,21.278848,23.959387
bbsse.test,32768,8,9.777942,21.278848,23.959387
bbsse.test,32768,1,38.664574,21.278848,23.959387
bbsse.test,16384,32,4.407554,9.86576,11.097806
bbsse.test,16384,16,3.09223,9.86576,11.097806
bbsse.test,16384,8,4.990101,9.86576,11.097806
bbsse.test,16384,1,25.216953,9.86576,11.097806
bbsse.test,8192,32,1.642112,7.289568,8.066268
bbsse.test,8192,16,1.656709,7.289568,8.066268
bbsse.test,8192,8,2.70922,7.289568,8.066268
bbsse.test,8192,1,14.513682,7.289568,8.066268
bbsse.test,4096,32,0.698973,6.055136,6.591426
bbsse.test,4096,16,0.884612,6.055136,6.591426
bbsse.test,4096,8,1.549502,6.055136,6.591426
bbsse.test,4096,1,6.34307,6.055136,6.591426
