FSM,Testcases,Cores,Total CPU,Execution GPU Optimised,Total GPU Optimised,Execution GPU Unoptimised,Total GPU Unoptimised
dns.test,4194304,32,9842.871697,7479.599616,8647.356878,7571.577952,8756.349806
dns.test,4194304,8,17990.18131,7479.599616,8647.356878,7571.577952,8756.349806
dns.test,4194304,4,28252.521027,7479.599616,8647.356878,7571.577952,8756.349806
dns.test,4194304,1,86460.324209,7479.599616,8647.356878,7571.577952,8756.349806
dns.test,2097152,32,6486.791953,3162.74208,3833.353985,3209.9912,3776.036383
dns.test,2097152,8,13446.980775,3162.74208,3833.353985,3209.9912,3776.036383
dns.test,2097152,4,16712.693777,3162.74208,3833.353985,3209.9912,3776.036383
dns.test,2097152,1,36490.377436,3162.74208,3833.353985,3209.9912,3776.036383
dns.test,1048576,32,3102.30928,999.66608,1260.669969,1009.84704,1268.317658
dns.test,1048576,8,6321.917539,999.66608,1260.669969,1009.84704,1268.317658
dns.test,1048576,4,7398.604425,999.66608,1260.669969,1009.84704,1268.317658
dns.test,1048576,1,10994.367368,999.66608,1260.669969,1009.84704,1268.317658
dns.test,524288,32,578.243265,198.126688,331.738599,203.507712,341.204741
dns.test,524288,8,692.230711,198.126688,331.738599,203.507712,341.204741
dns.test,524288,4,707.302144,198.126688,331.738599,203.507712,341.204741
dns.test,524288,1,2026.857122,198.126688,331.738599,203.507712,341.204741
dns.test,262144,32,408.081091,113.452896,183.123698,115.065888,186.506732
dns.test,262144,8,489.378273,113.452896,183.123698,115.065888,186.506732
dns.test,262144,4,524.930918,113.452896,183.123698,115.065888,186.506732
dns.test,262144,1,875.094948,113.452896,183.123698,115.065888,186.506732
dns.test,131072,32,328.867911,129.627936,168.744359,111.193504,145.669023
dns.test,131072,8,385.167783,129.627936,168.744359,111.193504,145.669023
dns.test,131072,4,477.504434,129.627936,168.744359,111.193504,145.669023
dns.test,131072,1,579.773235,129.627936,168.744359,111.193504,145.669023
dns.test,65536,32,17.354547,59.111136,88.25889,59.42272,77.233718
dns.test,65536,8,15.370422,59.111136,88.25889,59.42272,77.233718
dns.test,65536,4,22.5856,59.111136,88.25889,59.42272,77.233718
dns.test,65536,1,64.320602,59.111136,88.25889,59.42272,77.233718
dns.test,16384,32,13.604691,57.755904,61.875872,56.562784,63.677428
dns.test,16384,8,13.656933,57.755904,61.875872,56.562784,63.677428
dns.test,16384,4,14.804846,57.755904,61.875872,56.562784,63.677428
dns.test,16384,1,20.905983,57.755904,61.875872,56.562784,63.677428
dns.test,4096,32,0.381125,0.538688,1.913096,0.681184,2.15824
dns.test,4096,8,0.739341,0.538688,1.913096,0.681184,2.15824
dns.test,4096,4,1.449559,0.538688,1.913096,0.681184,2.15824
dns.test,4096,1,2.630856,0.538688,1.913096,0.681184,2.15824
dns.test,256,32,1.407934,0.383424,0.847735,0.425088,0.830065
dns.test,256,8,0.047003,0.383424,0.847735,0.425088,0.830065
dns.test,256,4,0.086394,0.383424,0.847735,0.425088,0.830065
